nb_objet,nb_sac,flip,time,evaluation
100,50,5,0.640688,861
100,50,6,0.684084,967
100,50,7,0.7897228,891
100,50,8,0.8729541,912
100,50,9,0.9754753,962
100,50,10,0.9343857,919
100,50,11,1.0850466,894
100,50,12,1.0720595,941
100,50,13,1.2574839,1008
100,50,14,1.2850782,833
100,50,15,1.529246,1013
100,50,16,1.3872536,943
100,50,17,1.5463015,992
100,50,18,1.5593952,994
100,50,19,1.6536055,771
100,50,20,1.5742126,990
100,50,21,1.6719633,975
100,50,22,1.847204,1000
100,50,23,1.850369,971
100,50,24,1.8811324,978
100,50,25,2.0044142,1014
100,50,26,1.989035,1037
100,50,27,2.0740381,997
100,50,28,2.1868913,1023
100,50,29,2.4820017,987
100,50,30,2.531952,1008
100,50,31,2.5305292,1032
100,50,32,2.7841548,1020
100,50,33,3.0300005,1024
100,50,34,2.7939397,1012
100,50,35,2.939786,1012
100,50,36,2.8339377,1036
100,50,37,3.1249033,989
100,50,38,3.2662847,1031
100,50,39,3.3359561,1006
100,50,40,3.462312,1034
100,50,41,3.2051538,1046
100,50,42,3.3182682,1030
100,50,43,3.8065608,1017
100,50,44,3.7687845,804
100,50,45,3.6728012,1047
100,50,46,3.692864,1033
100,50,47,3.8122892,801
100,50,48,3.9082966,1046
100,50,49,3.8981236,1022
