nb_objet,nb_sac,nombre_iter_local,time,evaluation
100,50,5,1.7589164,1045
100,50,10,1.746089,1075
100,50,15,1.9607457,1043
100,50,20,1.8960287,1037
100,50,25,1.8775228,1061
100,50,30,1.7319994,1058
100,50,35,1.8133598,1057
100,50,40,1.8323077,1056
100,50,45,1.9146594,1063
100,50,50,1.8439642,1020
100,50,55,1.94994,1038
100,50,60,1.9990282,1059
100,50,65,2.1541852,1079
100,50,70,1.9838383,1107
100,50,75,2.1654066,1063
100,50,80,2.1282418,1090
100,50,85,2.1102337,1106
100,50,90,2.1248194,1069
100,50,95,2.13566,1065
100,50,100,2.2116218,1064
