nb_objet,nb_sac,nombre_chance_max,time,evaluation
100,50,5,2.1997439,1032
100,50,6,2.0650822,1035
100,50,7,1.9843371,766
100,50,8,1.9519266,1006
100,50,9,2.3611242,1043
100,50,10,2.2976046,974
100,50,11,2.3529804,1047
100,50,12,2.391192,1039
100,50,13,2.3501726,978
100,50,14,2.4247541,997
100,50,15,2.3605513,1019
100,50,16,2.2392923,1014
100,50,17,2.3636464,781
100,50,18,2.258509,1026
100,50,19,2.2274472,986
100,50,20,2.3512538,796
100,50,21,2.6997091,983
100,50,22,2.4316263,1005
100,50,23,2.0388151,1026
100,50,24,1.9836067,1010
100,50,25,1.9560081,1046
100,50,26,1.9742384,1051
100,50,27,1.9747346,1024
100,50,28,1.9528873,996
100,50,29,2.0094312,993
100,50,30,1.9469312,1031
100,50,31,2.0271273,1028
100,50,32,2.0365432,1027
100,50,33,1.9637868,1007
100,50,34,1.9709757,1041
100,50,35,2.0658923,1011
100,50,36,1.9341973,1054
100,50,37,2.2664636,1055
100,50,38,2.311261,1041
100,50,39,2.0964756,1006
100,50,40,1.7518157,1018
100,50,41,1.8229111,1008
100,50,42,1.7795426,1052
100,50,43,1.7776897,1065
100,50,44,1.8080177,1058
100,50,45,1.7709308,1034
100,50,46,1.8488111,1029
100,50,47,1.8114507,1022
100,50,48,1.7752665,1005
100,50,49,1.7878153,1035
