nb_objet,nb_sac,nombre_abeille,time,evaluation
100,50,50,2.2035357,1032
100,50,100,2.0499676,969
100,50,150,1.9491826,1011
100,50,200,1.9011184,1012
100,50,250,2.118367,1032
100,50,300,2.1181513,1023
100,50,350,2.1069743,1006
100,50,400,2.0478795,1032
100,50,450,2.121669,1003
100,50,500,2.0201473,997
100,50,550,2.0437218,962
100,50,600,2.089677,984
100,50,650,2.0379575,987
100,50,700,2.1083533,1011
100,50,750,2.2510071,1011
100,50,800,2.2277139,1036
100,50,850,2.146458,1022
100,50,900,2.2033527,988
100,50,950,2.1702328,1021
100,50,1000,2.0748978,977
