nb_objets,nb_sacs,taille_population,temps_dexection,evaluation
100,50,100,2.2676003,751
100,50,150,2.0916296,721
100,50,200,2.1162356,659
100,50,250,2.0321769,748
100,50,300,1.9945187,730
100,50,350,1.9434881,731
100,50,400,1.9817935,724
100,50,450,1.9759022,691
100,50,500,2.0097419,774
100,50,550,1.970201,683
100,50,600,2.0547092,738
100,50,650,2.0319921,707
100,50,700,2.0112977,709
100,50,750,2.0137918,779
100,50,800,2.0145502,699
100,50,850,2.067151,739
100,50,900,2.0195035,695
100,50,950,2.0186397,729
100,50,1000,1.94969,725
